Location,Movie Title,Date,Amenities
"Mandrake Park, Chicago """,The Muppet Movie,28-Aug,
,,,
"Chicago Women's Park & Gardens, Chicago """,The Lego Movie,28-Aug,
,,,
"Athletic Field Park, Chicago """,Brave ,29-Aug,
"Family friendly activities and games.""",,,
,,,
"Ping Tom Memorial Park, Chicago """,The Lego Movie,29-Aug,
,,,
"Pottawattomie  Park, Chicago """,The Smurfs 2,29-Aug,
,,,
"Veteran's Memorial Park, Chicago """,Despicable Me 2,29-Aug,
,,,
"Horner Park, Chicago """,The Wizard of Oz,30-Aug,
,,,
"Jonquil Playlot, Chicago """,The Hunger Games: Catching Fire,30-Aug,
,,,
"La Follette Park, Chicago """,Cloudy with a Chance of Meatballs 2,30-Aug,
,,,
"Lincoln Park Zoo, Chicago """,Best in Show,5-Sep,
"After-hours zoo access and Lagunitas beer.""",,,
,,,
"Chopin Park, Chicago """,Ironman 3,13-Sep,
"Family friendly activities and games.""",,,
